id;type;effective_date;value;end_date
1;ubiquitous Account;2021-10-13;37132;2021-10-13
2;deposit Chips;2021-10-13;78077;2021-10-13
3;Springs Technician Mountain;2021-10-13;49071;2021-10-13
4;generation;2021-10-13;82513;2021-10-12
5;matrix;2021-10-13;49553;2021-10-13
6;copying Metrics Chips;2021-10-13;81226;2021-10-13
7;deposit Buckinghamshire;2021-10-13;93458;2021-10-13
8;quantifying one-to-one bandwidth-monitored;2021-10-13;94259;2021-10-13
9;Maine Chief withdrawal;2021-10-13;59784;2021-10-13
10;Plastic Nevada;2021-10-13;67653;2021-10-13
