id;effective_date;amount;note
1;2021-10-13;77648;../fake-data/blob/hipster.txt
2;2021-10-13;92797;../fake-data/blob/hipster.txt
3;2021-10-13;26543;../fake-data/blob/hipster.txt
4;2021-10-13;52455;../fake-data/blob/hipster.txt
5;2021-10-13;85447;../fake-data/blob/hipster.txt
6;2021-10-12;70484;../fake-data/blob/hipster.txt
7;2021-10-13;98553;../fake-data/blob/hipster.txt
8;2021-10-13;43972;../fake-data/blob/hipster.txt
9;2021-10-13;47106;../fake-data/blob/hipster.txt
10;2021-10-13;42311;../fake-data/blob/hipster.txt
