id;start;jhi_end;name;note
1;2021-10-13;2021-10-13;optimal pixel Plastic;Web
2;2021-10-13;2021-10-13;Handmade East;Fresh digital Gorgeous
3;2021-10-13;2021-10-13;Fresh;indigo
4;2021-10-13;2021-10-13;deposit Dominica;HDD Integration CSS
5;2021-10-13;2021-10-13;empower;application fresh-thinking
6;2021-10-13;2021-10-13;e-markets RSS;Cross-platform International
7;2021-10-13;2021-10-13;Bedfordshire;solution-oriented Road Concrete
8;2021-10-12;2021-10-13;solutions;Facilitator Chips
9;2021-10-13;2021-10-13;Intranet Liaison;plum cultivate bifurcated
10;2021-10-13;2021-10-13;Executive Computers auxiliary;channels policy
